id,age,expected_speed,real_speed
17,18,1.8936235263520662,1.8846153846153846
32,38,1.8346223731877045,1.8148148148148149
2,26,1.8133977702915234,1.75
5,38,1.7742766186658718,1.75
24,32,1.76810401212611,1.75
25,48,1.7807435056847145,1.75
11,45,1.656166476653051,1.6333333333333333
27,44,1.687144356571769,1.6333333333333333
49,33,1.6651542667273074,1.6333333333333333
6,25,1.6265436654739514,1.5806451612903225
44,28,1.626504526430643,1.5806451612903225
13,49,1.549556474480521,1.53125
40,19,1.5722930130816795,1.53125
48,50,1.5667081109782182,1.53125
29,44,1.51671833411885,1.4848484848484849
38,58,1.5275541813895896,1.4848484848484849
8,23,1.4575071544497662,1.4411764705882353
12,24,1.43357274958359,1.4
20,50,1.3834346901752994,1.3611111111111112
31,38,1.3337332712941898,1.3243243243243243
34,65,1.3262062522443296,1.3243243243243243
15,52,1.2996602855180255,1.2894736842105263
30,45,1.3163668168771576,1.2894736842105263
41,45,1.3147682021096418,1.2894736842105263
10,33,1.284942832260601,1.2564102564102564
42,51,1.2663898710874817,1.2564102564102564
3,51,1.2393350773838219,1.225
22,34,1.24315467891975,1.225
37,38,1.2474792903442278,1.225
7,55,1.2129102975179822,1.1951219512195121
18,60,1.1825158743305382,1.1666666666666667
19,62,1.1684852655965046,1.1666666666666667
4,60,1.1053348404898988,1.0888888888888888
35,67,1.1097733693731904,1.0888888888888888
23,55,1.0618968916089306,1.0425531914893618
45,65,1.0507491128134585,1.0425531914893618
0,30,1.0261260235851084,1.0208333333333333
16,64,1.040816112116922,1.0208333333333333
47,77,1.010710863955653,1.0
9,65,0.9922221455035423,0.98
21,67,0.9638043275311724,0.9607843137254902
26,70,0.9618264096257129,0.9607843137254902
14,60,0.9127830069646614,0.9074074074074074
33,69,0.9178050989240427,0.9074074074074074
39,74,0.8962176935595136,0.8909090909090909
36,77,0.8311289516301976,0.8305084745762712
43,80,0.825822238268049,0.8166666666666667
46,79,0.8291076051907744,0.8166666666666667
28,80,0.7936491998960098,0.7903225806451613
1,70,0.6697565193326789,0.6621621621621622
